"Opportunity Name";"Opportunity Owner: Department";"Account Owner Department";"Last Stage Change Date";"Description";"Comment";"Comment Sales";"Lost Reason";"Opportunity Owner";"Lost Reason 1";"Lost Reason 2";"Lost Reason 3"
"MG Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"24.06.2026";"";"";"";"Erneutes Gespr�ch mit AP Hr. Gudelj. Er �u�erte kein weiteres Interesse am LMS und benannte keine detaillierten Gr�nde.  Der AP war sehr kurz angebunden.";"Georgi Radulov (AWF)";"Too much effort / change resistance";"";""
"Autowelt Schl�ter - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (CCONE)";"10.09.2026";"Lost Reason: Hat nie reagiert
H�ndler hatte bereits Deadline bis zum 01.09. in letzter Mail erhalten gehabt und diese verstreichen lassen - lost

HDL kontaktiert - bisher keine RM / 27.08.26 MR
Mail in 13890573 | 19.08.26 - 11:24 Uhr | EB
ASP Schl�ter hat mich 2x auf verschiedenen Nummern weggedr�ckt | 27.08 - EB
Erneute Mail in 13924019 | aufforderung zu ben�tigten Angaben bis 01.09 sonst Schlie�ung des Vorgangs | 27.08 - EB";"";"6.7. schon l�nger in Status ""Registration"", H�ndler nicht erreicht 
 Hat sich f�r Webinar angemeldet, siehe Case 13841100.";"";"Eric Becker (AWF)";"Contact not reachable";"";""
"Autohaus Daskin - Lead Manager Pro";"Sales";"SDG managed (CCONE)";"25.08.2026";"";"";"// 25.08.2026 (Eric Goldberg): Telefonat mit H�ndler, aktuell kein Interesse an LMP und es soll alles erst einmal so bleiben, wie es ist 
 // 21.08.2026 (Eric Goldberg): Telefonat mit H�ndler, bitte am 24.08.2026 noch einmal probieren 
 // LTM am 01.07 ab 10:30 Uhr wieder erreichbar";"";"Eric Goldberg";"Not a priority / low relevance perceived";"";""
"Autohaus King Kraftfahrzeugvertriebs UG (haftungsbeschr�nkt) - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"29.05.2026";"";"";"";"Frau Wiedmann erreicht, LMP vorgestellt. Sie bearbeitet alles alleine und ist dadurch zeitm��ig sehr eingespannt ist. Keine Kapazit�ten f�r Webinar und Onboarding";"Samuel Hoffmann Kather (AWF)";"No time / capacity right now";"";""
"CNC-Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"24.06.2026";"";"";"Herr Celik erreicht. Hat keinen Bedarf an dem LMP. Ist nur bei mobile.de und verwaltet die Leads lieber weiterhin wie gehabt.";"Herr Celik erreicht, LMP vorgestellt. Er arbeitet lieber weiterhin so, wie er es bisher gewohnt ist (hat auch nur mobile.de als Plattform). F�r ihn ist der Zeitaufwands des Onboardings zu hoch; er arbeitet allein und will alles lieber so belassen.";"Samuel Hoffmann Kather (AWF)";"Not a priority / low relevance perceived";"";""
"TNP Automobilhandel - Thomas Piskur - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"10.07.2026";"";"";"1.7. 16.43: nicht erreicht 
 3.7. 11.18: nicht erreicht 
 7.7. 9.44: nicht erreicht 
 10.7. 10.41: H�ndler bearbeitet die Leads komplett allein, hat auch keine andere B�rse als mobile. Er m�chte seinen bisherigen Ablauf behalten, w�nscht daher kein LMS, m�chte es nicht nutzen.";"H�ndler bearbeitet die Leads komplett allein, hat auch keine andere B�rse als mobile. Er m�chte seinen gewohnten Workflow behalten, w�nscht  daher kein LMS, m�chte es nicht nutzen.";"Salma Karachouli (AWF)";"Too much effort / change resistance";"";""
"Autohaus Werner GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"03.07.2026";"";"";"Frau Werner erreicht. War sehr kurz angebunden und hat in vorherigen Gespr�chen schon betont, dass sie nicht mehr von mobile.de angerufen werden will. LMP versucht anzusprechen, jedoch wollte sie von neuen Produkten nichts h�ren. Auch mit der Betonung, dass es kostenfrei ist, wollte sie nicht weitersprechen. Beendete das Gespr�ch.";"War nicht bereit mit mobile.de zu sprechen. Nicht bereit, neue Produkte zu nutzen.";"Samuel Hoffmann Kather (AWF)";"Not the right person";"";""
"Stern Automobile GmbH - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"01.09.2026";"Live-Schaltung zur�ckgenommen am 01.09.2026 und auf Lost gesetzt / MR
HDL m�chte deaktiviert werden, er ist �berfordert mit der Email-Synchronisation und m�chte auch keine Screenshots senden. Er sagt, dass er 9 Jahre ohne ein LMS auskam und dies so beibehalten m�chte 01.09.2026 / MR

N�chster Schalter am 03.09! EA 31.08

Homepage ist erst seit 3 Monaten vorhanden, bisher kamen keine Anfragen rein. HDL ist fein damit, wenn diese erstmal nicht angebunden wird. HDL soll sich aber sehr gerne erneut melden. EA 31.08

Live am 31.08 (Mobile und AutoScout) EA 31.08

Leadquellen: Mobile, AutoScout, Homepage (folgt eventuell)
API Read Only!";"";"Hat sich f�r Dienstag den 11.08.26 um 11.00 Uhr f�r Webinar angemeldet. Danach anrufen und �ber Inseratsanalyse und Mobee sprechen. 
 Heute 17.08.26 um 10.00 Uhr melden. 
 17.08.26 Hat sich f�r heute um 11.00 Uhr angemdeldet.";"HDL scheut dem Einmalaufwand zur Einrichtung des LMP mit Email-Synchronisation und den n�tigen Pflichtangaben f�r Mitarbeiter. Zwischen den Zeilen lese ich heraus, dass er LMP f�r zu technologisch komplex h�lt und damit schlicht �berfordert ist.";"Egzona Ajeti (AWF)";"Effort";"";""
"Hit Cars Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"25.06.2026";"";"";"Gespr�ch mit AP Hr. Alispahic pers�nlich. Account befindet sich in Umfirmierung. Account wird bald gek�ndigt und dann neuer er�ffnet. Wird dann im neuen Account sehr aufgeschlossen sein. Wiedervorlage und Case doc. in meiner SF Workflow.";"Umfirmierung und neuer Account";"Stefan P�lzig (AWF)";"Other";"";""
"BEN AUTOMOBILE - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"25.06.2026";"";"";"";"Gespr�ch mit AP Herr Arben Hajrizaj. Er sage, dass er momentan aus Zeitmangel nicht an einem Webinar teilen kann. Doch das Interesse besteht grunds�tzlich und nach den Sommerferien in 1-2 Monaten"" wird er sich daf�r Zeit nehmen.. Weiterer Workflow �ber SF";"Georgi Radulov (AWF)";"Timing";"";""
"Autohaus Zoom - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"17.07.2026";"";"";"Herr Tks�z erreicht. Er wird bald das Platin-Paket k�ndigen und ins Bronze wechseln. Deshalb nicht daf�r geeignet.";"Er wird bald das Platin-Paket k�ndigen und ins Bronze wechseln. Deshalb nicht daf�r geeignet.";"Samuel Hoffmann Kather (AWF)";"Other";"";""
"Autozentrum Rheine - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"07.08.2026";"";"";"25.06. - Ist interessiert. Link geschickt. Kam bei ihm an. Muss noch den Termin mit dem Partner abkl�ren. 01.07. - MA erreicht. Herr Ghalstyan im Gespr�ch. Er gibt die Erinnerung nochmal weiter. 20.07. - Herr Ghalstyan gerade aus dem Urlaub zur�ck. Viel zu tun. Link nochmal rausgesendet. 05.08. - Nicht erreicht 06.08. - Im KdG 07.08. - Herr Galstyan gerade in einer Umfirmierung. Wollen das Thema dann im neuen Account bearbeiten. Jetzt erstmal keinen Nerv daf�r.";"";"Stefan P�lzig (AWF)";"Timing";"";""
"Auto-Center-Bismarck N&U - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"25.06.2026";"nicht erreicht/ am 24.06.2026 25/06.";"";"";"Gespr�ch mit Ansprechpartner Hr. Ulupinar. AP beauskunftet, dass er bereits ein LM System nutzt. Er beauskunftet nicht um welches System es sich handelt. Vertragsbindung besteht und w�nscht keine Ver�nderung.";"Marcel Wirsching (AWF)";"Not a priority / low relevance perceived";"";""
"Autohaus Schellmann GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"22.07.2026";"Soll am 24.07.2026 erneut anrufen";"";"06.07. 12.07. 17.07.nicht erreicht Hat kein Interesse. Haben einen LEAD Manager. Sind mit diesem sehr zufrieden. Nicht sehr �ffnen f�r Ver�nderungen.";"M�chte keine Ver�nderung. Hat einen externen Lead-Manager.";"Marcel Wirsching (AWF)";"Already have a process/tool";"";""
"Black Fox GmbH - Lead Manager Pro";"MidMarket";"MidMarket";"03.07.2026";"";"";"25.6. 15.40: Anton Brummer erreicht, er hat gerade zu tun. M�chte dar�ber Anfang n�chster Woche telefonieren. 
 1.7. 15.01: Anton erreicht, bei ihm ist gerade ""Land unter"". 
 3.7. 10.53: Anton ist gerade in einem Gespr�ch. 
 3.7. 1230: H�ndler erreicht und das LMS vorgestellt. Der H�ndler findet es gut, dass mobile ein solches System inkludiert anbietet. Er m�chte es jedoch nicht nutzen, da er seit Jahren ein eigenes kostenpflichtiges System verwendet, das optimal auf seine Bed�rfnisse abgestimmt ist. Es bietet die gleichen M�glichkeiten wie der Lead Manager Pro von mobile, b�ndelt alle Leads und ist bereits vollst�ndig in seine Prozesse integriert - unter anderem in Buchhaltung und Marketing.";"H�ndler nutzt seit Jahren ein eigenes System, das optimal auf seine Bed�rfnisse abgestimmt ist. Es bietet die gleichen M�glichkeiten wie der Lead Manager Pro von mobile und ist bereits vollst�ndig in seine Prozesse integriert.";"Koray Akinci";"Already have a process/tool";"";""
"Autohaus Jung - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (CCONE)";"08.09.2026";"Ultimatum bis zum 07.09 sollte bis da keine Antwort kommen auf Lost setzen siehe Call Case 13949819 CK 03.09

Erneut angeschrieben wegen Onboarding Termin 13938886 CK 01.09

Erneut angeschrieben zwecks Onboarding Verkaufsleiter 13917064 CK 25.08

Herr Kilian meldet sich n�chste Woche zwecks Verkaufsleiter-Schulung  13886034 CK 19.08

Onboarding Verk�ufer am 23.07.2026 erfolgreich CK 23.07

Verkaufsleiter Schulung am 14.08.2026 um 14 Uhr angesagt Herr kilian ist Krank Erneuter Anruf zwecks neues Termins am 18.08 anbei der Case 13877499 CK 14.08

Upload Settings: API-User";"";"Hat sich im Gespr�ch zum Webinar registriert";"seit dem 14.08.2026 bin ich hinterher um den Termin f�r die Verkaufsleiter Schulung zu finden bisher gab es keine R�ckmeldung auf eine mail von mir und jedes mal wenn ich jemand an das Telefon bekomme hie� es ich leite ihr anliegen weiter";"Christian Klemm (AWF)";"Other";"";""
"Auto-Klein GmbH & Co. KG - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"11.09.2026";"";"";"M�chte gern das System von uns haben, ABER - 1. D�rfen Verk�ufer, welche das System nutzen, auch beispielsweise den Preis �ndern und/oder l�schen - oder kann man den Zugriff bei den jeweiligen Mitbinutzern begrenzen? 2. Kein CRM System - geht das trotzdem? 
 Interessiert, aber Kl�rungsbedarf - 
 ""Hey Joseph, ich hoffe alles bestens bei dir. Ein Kunde von mir Auto-Klein GmbH & Co. KG m�chte gern das LMS von uns haben, hat aber 2 Fragen dazu. Letztere sollte glaube ich ohne Probleme sein, wollte mich aber vergewissern. - 1. D�rfen Verk�ufer, welche das System nutzen, auch beispielsweise den Preis �ndern und/oder l�schen - oder kann man den Zugriff bei den jeweiligen Mitbenutzern begrenzen? 2. Haben kein CRM System - geht das trotzdem? 
 
 Joseph Meng��[08:01 Uhr] Hi, bei mir ist alles bestens, ich hoffe bei Dir auch 
 Berechtigungen k�nnen Individuell eingestellt werden. Da in dem System keine Vertr�ge erstellt werden und es auch keine R�ckspiegelung der Daten in die Listings gibt, braucht der H�ndler keine Angst um seine Fahrzeugpreise haben. ist keine Problem"" 
 M�chte dann jetzt doch erstmal warten, weil sein Mitarbeiter im urlaub ist, der das System nutzen wird. In 2 Wochen nochmal kontaktieren. Wird sich aber wohl in der zwischenzeit schon zum Webinar anmelden, um sich das System anzuschauen. 
 Nicht sicher ob er das System nutzen m�chte, da er an der Effektivit�t verzweifelt.Ist nicht das erste System, dass er sich anschaut und hat f�r ihn pers�nlich keinen gro�en Mehrwert, da es zum Beispiel nicht mit der VW Welt koppelbar ist. Hat sich erstmal bewusst gegen eine Registrierung entschieden, aber bleibt dem prozess erhalten. Er redet nochmal mit seinen Verk�ufern wenn die Urlaubszeit vorbei ist (3-4 Wochen) und stellt denen das System vor. Er denkt das sie es nicht m�gen werden. Er sagt es gehen wenig Leads verloren, kann schon einmal passieren. 
 Ansatz: Hat keinen wirklichen �berblick wie seine Verk�ufer arbeiten, Wann antworten Sie auf die Leads, wie oft rufen Sie den Kunden an bis er nicht mehr angerufen wird, bessere �bersicht, einfacher zu bedienen und vor Allem Auswertungen.";"";"Aaron Haupt  (AWF)";"Too much effort / change resistance";"";""
"Autohof-Feiler - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"25.06.2026";"";"";"";"Gespr�ch mit AP Alfred Feiler. Der AP sagte, dass er sehr unter Zeitdruck stehen w�rde und will daher an keinen Webinar zum LMS teilnehmen. Er sagte jedoch, dass wir ihn diesbez�glich in Zukunft wieder kontaktieren k�nnen";"Georgi Radulov (AWF)";"Too much effort / change resistance";"";""
"CK Automobile - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"24.08.2026";"Lost Reason: System zu komplex und umfangreich f�r ein kleines 2-Mann Unternehmen, welches mit nur einem Computer arbeitet.
- 24.08.: Haben um Kontaktaufnahme gebeten - m�chten LMP nicht weiter verwenden

OnBoarding erfolgreich. Mobile.de direkt aktiviert. AutoScout24 -> HDL muss Mail Adresse �ndern lassen und Kundennummer mitteilen. HDL mitgeteilt, dass er sich nochmal melden soll. Homepage -> Anfragen haben wir schon erhalten, sollte demn�chst weitergeleitet werden. EA 21.08


Gew�nschte Leadquellen: AutoScout24, Homepage (Warte noch auf AS Kennnummer und alte Homepage Anfragen) EA 18.08";"";"Laut MA ist Herr Karlovic, im Urlaub ab dem 03. August wieder verf�gbar. Soll es da nochmal probieren habe es Ihm auch nochmal gepitscht, da der Mitarbeiter wissen wollte um was es geht, fand es mega.";"Dealer states: Too complex for a 2-Person Team, sharing 1 PC";"Egzona Ajeti (AWF)";"Solution / Fit";"";""
"KFZ-Handel Uwe Bartsch & Bernd Bartsch - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"04.08.2026";"";"";"20.07. 12:29 Nicht erreicht 04.08. 9:20 Herr Bartsch erreicht, er hat viel zu tun und keine Zeit f�r das Webinar. Au�erdem ist ihm das zu kompliziert -> Einwandbehandlung erfolglos.";"";"Marian Leue (AWF)";"No time / capacity right now";"";""
"Autohaus Sch�ttenkamp GmbH - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"16.07.2026";"";"";"H�ndler befindet sich inzwischen im Gold-Paket mit 26 aktiven Inseraten";"H�ndler befindet sich inzwischen im Gold-Paket mit 26 aktiven Inseraten und ist somit nicht geeignet f�r LMS";"Artur Folgmann  (AWF)";"Decision Process";"";""
"GH Autob�rse - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"27.08.2026";"";"";"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 11.08.2026 nicht erreicht 12.08.2026 Der Kunde hat derzeit kein Interesse, da er eine st�rkere Abh�ngigkeit/Bindung an mobile.de vermeiden m�chte.";"";"Christoph Krausse (AWF)";"Not a priority / low relevance perceived";"";""
"Autohalle M�ller & W�cker GbR - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"20.08.2026";"Lost in Absprache mit Joseph CK 20.08

Verk�uferschulung wurde abgesagt (13734730). HDL meldet sich mit neuem Termin EA 09.07

Herr M�ller w�nscht ertmal keinen neuen Termin er hat zuviel zu tun siehe Case 13777798 CK 22.07

erstmal kein Intresse siehe Case 13836927 CK 04.08

Upload Settings: Read Only";"";"";"Keine R�ckmeldung bisher";"Christian Klemm (AWF)";"Other";"";""
"AY Camper GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"17.07.2026";"";"";"Herr Koc erreicht. Habe ihm den neuen LPM vorgestellt. Er findet die an sich gut, jedoch will er es nicht nutzen. In seinen Augen ist er dadurch noch abh�ngiger von mobile.de und das m�chte er nicht. Die Vorteile nochmal erkl�rt, jedoch blieb er bei seiner Meinung. Auch das Argument, dass das Tool kostenfrei ist, war f�r ihn nicht �berzeugend.";"Herr Koc erreicht. Habe ihm den neuen LPM vorgestellt. Er findet die an sich gut, jedoch will er es nicht nutzen. In seinen Augen ist er dadurch noch abh�ngiger von mobile.de und das m�chte er nicht.";"Samuel Hoffmann Kather (AWF)";"Other";"";""
"AutoCenter Weiler - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"19.08.2026";"";"";"Ap aufgekl�rt dann telefonat unterbrochen dannach nicht mehr erreicht 
 
 Ap gerade viel zu tuen deshalb eigentlich meinte er er meldet sich wird jedoch versp�tet angegangen 
 
 Sollte er was brauchen meldet er sich meinte er hier konnte kein Richtiges Interesse festgestellt werden (Lost)";"War nicht so begeistert das er es umsetzt sagte falls melde ich mich, deshalb ist ein nachfassen nicht mehr m�glich";"Eren Kaya (AWF)";"Other";"";""
"Autohaus K�nigshof - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (DD Heusenstamm)";"24.06.2026";"";"";"Gespr�ch mit AP Emre. Das Gewerbe wurde Abmeldung zum 01.07.26. Leider Aufgrund Gesch�ftsaufgabe kein LMP m�glich.";"Gewerbeabmeldung";"Stefan P�lzig (AWF)";"Other";"";""
"CarTimes GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"01.07.2026";"";"";"25.06. - Neuen Link geschickt 01.07. - Hr. Giuseppe erreicht. AP beauskunftet das der Onboarding Prozess zu viel Zeit nimmt. Das Webinar w�rde zeitlich zum momentanen Zeitpunkt einschr�nken. EWB, zu langfristigen Zeitersparnis wurde angenommen. Offen f�r Zukunft mit Kollegenkreis in Wintersaison.";"Haben aktuell nicht die Zeit daf�r und wollen sich auch das Webinar nicht anschauen. Halten es sich aber f�r die Zukunft offen.";"Stefan P�lzig (AWF)";"No time / capacity right now";"";""
"dls automobile - Lead Manager Pro";"Sales";"SDG managed (CCONE)";"20.08.2026";"";"";"// 20.08.2026 (Eric Goldberg): Telefonat mit H�ndler zu Lead Manager Pro; H�ndler wird in 2-3 Jahren seinen Betrieb aufgeben und hat kein Interesse jetzt noch alles umzustellen LTM ab 14 Uhr anrufen <-- War wieder im Kundengespr�ch";"H�ndler wird in 2-3 Jahren seinen Betrieb aufgeben und hat kein Interesse jetzt noch alles umzustellen";"Eric Goldberg";"Other";"";""
"REMAX Autohandels GmbH - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"11.09.2026";"";"";"24.08.26 Herr Herbst will morgen um 15.00 mit mir das Einrichtungsformular ausf�llen. 
 Link f�r Webinar versendet. In 2 Wochen nachh�ren wie es ihm gefallen hat. 
 Herr Herbst hat Seminar gesehen f�r LMP und ist ab n�chstem Montag 08.00 Uhr aus dem Urlaub zur�ck.";"";"Markus Rother (AWF)";"Not a priority / low relevance perceived";"";""
"Autohandel S.  Gems - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"29.05.2026";"";"";"";"H�ndler m�chte n�chstes Jahr in Rente gehen und f�hrt das Gesch�ft jetzt langsam runter. Will deshalb kein neues LMS mehr einf�hren, lohnt sich f�r ihn nicht.";"Salma Karachouli (AWF)";"Other";"";""
"Autohaus Heiter GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"06.07.2026";"";"";"2.7. 16.27: nicht erreicht 
 6.7. 8.55: Herrn Juncker erreicht, ihm LMS vorgestellt. Er findet es grunds�tzlich gut, m�chte es aber selbst nicht nutzen. Begr�ndung: Sie nutzen keine anderen Leadkan�le, nur noch mobile.de, haben alle anderen B�rsen gek�ndigt. Er verwaltet im H�ndlerbereich die Leads zentral und verteilt sie strukturiert an seine Verk�ufer. Das funktioniert f�r ihn optimal, er ben�tigt keine andere L�sung.";"H�ndler nutzt keine anderen Leadkan�le, nur noch mobile.de, hat alle anderen B�rsen gek�ndigt. Er verwaltet im H�ndlerbereich die Leads zentral und verteilt sie strukturiert an seine Verk�ufer. Funktioniert f�r ihn optimal, ben�tigt keine andere L�sung.";"Salma Karachouli (AWF)";"Already have a process/tool";"";""
"Atwi Automobile Hannover - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"21.08.2026";"! �ber Onboarding Termin gesprochen hat erstmal keine zeit Onboarding dauert zu lange 13814603 Stand 31.07. !

Sein Ansprechpartner antwortet nicht ( von uns ) SE
Kontaktiert zwecks Onboarding Termin 27.07.26 SE";"";"Kein Interesse derzeit - sieht den Merhwert nicht - konnte umgestimmt werden, sich das System zumindest einmal anzusehen.";"HD hatte sowieso wenig Zeit und musste von Sales (s. Comment Sales) und LMP Team bearbeitet werden zuzustimmen. Hat sich dann auf mehrere E-mail Anfragen und Anrufe nicht mehr gemeldet.";"Raphael Palash (AWF)";"No time / capacity right now";"";""
"Autohaus Renker GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"01.07.2026";"";"";"LTM am 25.06 Vormittags eventuell wieder erreichbar";"Telefonat mit AP Ulrich Renker. Der H�ndler hat mir gesagt, dass er Vertrages-H�ndler bei Hyundai ist und daher vertraglich verpflichtet sei, deren LEAD-Management System zu benutzen. und daher kein weiteres System braucht";"Georgi Radulov (AWF)";"Already have a process/tool";"";""
"Westmann Automobile - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"28.07.2026";"Account deleted";"";"23.07.2026, 16:18 Aaron Haupt (AWF) Maximal im Silber bei mehr Inseraten LMS m�glich. Jetzt 15 inserate online, im gold maximal 20-25 und erst im silber 40+ inserate um Preis zu halten. 23.07.2026, 16:17 Aaron Haupt (AWF) K�nnen sich das Paltin Paket nicht mehr leisten Account deleted, bezahlen erst Anfang August Rechnung. Dann vielleicht downgrade wenn m�glich und mehr Inserate, dann nochmal probieren.";"Account ist leider deleted, da sich der Kunde nicht die Rechnung leisten kann.";"Aaron Haupt  (AWF)";"Other";"";""
"Seidel Automobile OHG - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (CCONE)";"21.08.2026";"Offline genommen da er das gew�nscht hat anbei der Case daf�r 13890538 CK 21.08

Live-Schaltung von Autoscout fehlt. 
Herr Schmiedh�user gibt uns per Mail Bescheid sobald wir Autoscout24 Live-Schalten k�nnen.

Neuerstand: Herr Schmiedh�user meldet sich in zwei Wochen wieder. Sein Kollege ist erst dann wieder da. Ihm selbst ist das System zu umst�ndlich beziehungsweise zu aufw�ndig. Da ich ihn nicht verlieren m�chte, bin ich so vorgegangen, dass ich mich in zwei Wochen mit ihm zusammensetze, um zu schauen, wie die Sicht eines Verk�ufers ist. Da dies ja die abgespeckte Form ist, gef�llt ihm das m�glicherweise mehr und wir k�nnen ihn dadurch halten.

Schulung sicht des Verk�ufers am 19.08.2026 um 10 Uhr siehe 13850597 Meet Link is raus CK 07.08

Termin wurde abgesagt f�r Heute da Herr Schmiedh�user Kunden hatte sollte um 11:15 Uhr erneut anrufen da ging er nicht ran / im Anschluss habe ich erneut eine Mail geschrieben 13890538. CK 19.08

Upload Settings: API-User";"";"";"Dealer does not want to alter internal processes";"Christian Klemm (AWF)";"Effort";"";""
"Autoland Elig�l GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"01.07.2026";"";"";"";"Gespr�ch mit AP Murat Elig�l. Der H�ndler hat mir gesagt, dass er gerade absolut �berlastet ist und gerade keine Zeit hat, nicht einmal f�r ein 30 min�tiges Webinar. Ich kann ihn jedoch nach dem Sommer diesbez�glich wieder kontaktieren.";"Georgi Radulov (AWF)";"Timing";"";""
"Rein-Cars - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"07.08.2026";"";"";"25.06. - Nicht erreicht 01.07. - Nicht erreicht 02.07. - Nicht erreicht 03.07. - Nicht erreicht 20.07. - Nicht erreicht 23.07. - Nicht erreicht 03.08. - Nicht erreicht 04.08. - Nicht erreicht 07.08. - Nicht erreicht";"";"Stefan P�lzig (AWF)";"Contact not reachable";"";""
"Autosalon Hilden GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"24.06.2026";"";"";"LTM erreicht. Hat kein Interesse";"Gespr�ch mit AP Herr Amer El-Ali. Der H�ndler hat mir gesagt, dass er nur ganz wenige Anfragen hat und diese sehr gut verwalten kann und daher kein spezielles Tool zus�tzlich ben�tigt. Das Webinar dazu wollte er sich auch nicht ansehen";"Georgi Radulov (AWF)";"Too much effort / change resistance";"";""
"Roller & MotorradBox Stuttgart - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"10.09.2026";"";"";"ne 8x / 18.08. - morgen fr�h ab 11 nochmal probieren - gar kein Interesse an dem LMPro.";"";"Aaron Haupt  (AWF)";"Too much effort / change resistance";"";""
"Haas Automobile - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (CCONE)";"28.07.2026";"H�ndler hat seine Mailadresse f�r Anfragen selbstst�ndig ge�ndert - Status: Lost
Grund: Nutzung �ber den Leadmanager im H�ndlerbereich ist angenehmer, insbesondere durch die KI-M�glichkeit Antworten auf E-Mails, bzw. E-Mails verfassen zu lassen";"";"";"Dealer is not reachable and changed setup so LMP is inactive";"Saskia Willmeroth (AWF)";"Unknown";"";""
"Miki Automobile GmbH - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"07.09.2026";"HD eine finale Mail geschickt. Klar gemacht das es die letzte Erinnerung ist. Falls er nicht antwortet stelle ich am 07.09.2026 auf LOST. RP 03.09.2026

Opp Flow Wechsel SW - RP

28.08.: Mail noch einmal raus / am Montag kommt die Deadline

24.08.: Nicht aufgetaucht f�r OB / Mail raus

Vorsicht: Beschwert sich gerne �ber Preis, hat Informationen wozu LMP da ist, falsch verstanden.

Ebenfalls pers�nlichen Schicksalsschlag gehabt / angeboten das Thema erst einmal nicht anzugehen, da es seine volle Aufmerksamkeit erfordert; hat dies jedoch dennoch angehen wollen

20.08.: Onboarding geplant

17.08.: Erneut kontaktiert

14.08.: Zwecks Termin und Daten kontaktiert

Upload Settings: API-User";"";"ne / ne / ne / ne 
 Kunde regt sich �ber die Kosten auf - Scheint Interessiert zu sein - hat sich f�r alles registriert.";"";"Raphael Palash (AWF)";"Contact not reachable";"";""
"Apaydin Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"29.05.2026";"";"";"";"Herr Apaydin erreicht. LMP pr�sentiert. Er ist aktuell zufrieden mit dem, wie er die Leads bearbeitet. M�chte sich bei zuk�nftigem Interesse melden.";"Samuel Hoffmann Kather (AWF)";"Not a priority / low relevance perceived";"";""
"Gebrauchtwagen Zentrum GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"11.08.2026";"";"";"An mb weitergeleitet (7x nicht erreicht bisher) 
 Da H�ndler nicht erreichbar ist, werde ich die Opportunity als Lost markieren";"";"Samuel Hoffmann Kather (AWF)";"Contact not reachable";"";""
"TKC GmbH - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (CCONE)";"09.09.2026";"HD telefonisch erreicht, hat kein Interesse nach dem Webinar mehr gehabt. Wollte keine weitere Auskunft geben. // RP 09.09.2026
HD kontaktiert erstes Mal, // 03.09.2026 RP";"";"Doppelte Opportunity";"";"Raphael Palash (AWF)";"Unknown";"";""
